title,file_path,char_count,word_count,over_50_chars,status,todo_marked,completion
计科推免全流程,ncu/recommendation/cs.md,2878,249,True,exists,,has_content
计科转专业全流程,ncu/transfer/cs.md,3075,239,True,exists,,has_content
考研经验分享,ncu/a2-postgraduate-entrance-exam.md,14,3,False,exists,,insufficient
各培养方案导读,ncu/a4-program-guides.md,15,3,False,exists,,insufficient
行为准则,guides/contributing/code-of-conduct.md,1802,125,True,exists,,has_content
贡献流程,guides/contributing/how-to-contribute.md,3222,276,True,exists,,has_content
搭建基础环境,guides/contributing/development-setup.md,1987,169,True,exists,,has_content
分支保护策略,guides/contributing/branch-protection.md,1214,128,True,exists,,has_content
网站部署,guides/contributing/deployment.md,1849,158,True,exists,,has_content
智能 PR 验证系统,guides/contributing/pr-workflow-guide.md,3476,485,True,exists,,has_content
调整全局样式 (CSS),guides/contributing/styling.md,3689,343,True,exists,,has_content
调整项目配色,guides/contributing/colors.md,1415,119,True,exists,,has_content
调整提示框样式,guides/contributing/admonitions.md,3019,253,True,exists,,has_content
调整图片样式,guides/contributing/figure.md,841,68,True,exists,,has_content
写作规范,guides/contributing/writing-guide.md,7456,889,True,exists,,has_content
写作指令 (prompt),guides/contributing/writing-prompt.md,7029,811,True,exists,,has_content
提示框样式样例,guides/contributing/admonitions-examples.md,7951,1134,True,exists,,has_content
一份开发手记,guides/contributing/development-log.md,3868,346,True,exists,,has_content
我们的初心,aboutus/heart.md,11,3,False,exists,,insufficient
打卡教程,aboutus/how-to-check-in.md,2294,220,True,exists,,has_content
打卡墙,aboutus/wall.md,561,44,True,exists,,has_content
标签索引,tags.md,1548,128,True,exists,,has_content
